lf,beta,T_time_(ns)
0.5, 1.0,34100029021563
0.5, 1.0,33481725791609
0.5, 1.0,34147016395017
0.5, 1.0,33550654400234
0.5, 1.0,33662557453111
0.5, 1.0,35237315284354
0.5, 1.0,34797542786035
0.5, 1.0,34457547963885
0.5, 1.0,34420324821528
0.5, 1.0,35946295364383
0.5, 1.0,33270400421016
0.5, 1.0,34159151610093
0.5, 1.0,35199952543831
0.5, 1.0,34683310688046
0.5, 1.0,35358034950159
0.5, 1.0,35202879953990
0.5, 1.0,35547995521702
0.5, 1.0,35732807809696
0.5, 3.0,46582696913011
0.5, 3.0,47915354212074
0.5, 3.0,47871595093138
0.5, 3.0,49922026595577
0.5, 3.0,49556506162685
0.5, 3.0,50965786808254
0.5, 3.0,49336478441247
1.0, 0.1,4149990623891
1.0, 0.1,3298078532923
1.0, 0.1,3471553766086
0.5, 3.0,48242274856206
0.5, 3.0,53199614516720
0.5, 3.0,50654411471806
0.5, 3.0,52490639222234
1.0, 0.1,3257459047443
0.5, 3.0,52605122551549
1.0, 0.1,3350784077029
0.5, 3.0,52314688854956
0.5, 3.0,51335471044766
0.5, 3.0,52855837985700
0.5, 3.0,52255056270183
0.5, 3.0,51943875362273
0.5, 3.0,51791563448928
0.5, 3.0,53197814366232
0.5, 3.0,51807090445580
1.0, 0.1,3181962276935
1.0, 0.1,3656135548476
0.5, 3.0,53709641139545
0.5, 3.0,53679923023102
0.5, 3.0,52409150738596
0.5, 3.0,53583245156065
1.0, 0.1,3008825478465
0.5, 3.0,51728911512120
0.5, 3.0,53637073123624
1.0, 0.1,3160481233143
0.5, 3.0,52874987329245
0.5, 3.0,53970068602065
0.5, 3.0,53162829998662
1.0, 0.1,4082455615751
1.0, 0.1,3462951500951
0.5, 3.0,54339237488843
0.5, 3.0,55155578034013
0.5, 3.0,54453422955151
0.5, 3.0,53605891046266
0.5, 3.0,54009555880923
0.5, 3.0,53797513538763
1.0, 0.1,3473983754773
1.0, 0.1,3951908973796
1.0, 0.1,3318848530233
1.0, 0.1,3412256885911
1.0, 0.1,3689226636101
0.5, 3.0,55274988047514
0.5, 3.0,54945576054626
0.5, 3.0,53523030507367
1.0, 0.1,4130732759055
0.5, 3.0,55220941369181
0.5, 3.0,56531247314305
0.5, 3.0,54319553975807
0.5, 3.0,54329381214163
1.0, 0.1,4402127433526
0.5, 3.0,56061980835028
1.0, 0.1,4432306287368
1.0, 0.1,4104693791165
1.0, 0.1,3513860333826
0.5, 3.0,56808744864587
0.5, 3.0,56452596805075
0.5, 3.0,55624137577581
0.5, 3.0,57038584678237
1.0, 0.1,3667593125580
1.0, 0.1,3511284080407
1.0, 0.1,4134959536698
0.5, 3.0,56372105072831
1.0, 0.1,4028867541233
1.0, 0.1,3454175996201
0.5, 3.0,56625943002980
0.5, 3.0,54248106772871
1.0, 0.1,3739797524742
1.0, 0.1,3519988002169
1.0, 0.1,4128608412825
1.0, 0.1,3517171436700
1.0, 0.1,3507431703206
0.5, 3.0,59568799598111
0.5, 3.0,56028408494631
1.0, 0.1,3860176349396
1.0, 0.1,3442972231844
1.0, 0.1,3748037394540
0.5, 3.0,57378661684777
1.0, 0.1,4082299740458
0.5, 3.0,58135098085625
1.0, 0.1,3555483174828
0.5, 3.0,57079446697867
1.0, 0.1,3878256828130
1.0, 0.1,4098345821990
0.5, 3.0,58716076611011
1.0, 0.1,3427104457820
0.5, 3.0,59105110037201
1.0, 0.1,3328139896113
1.0, 0.1,3576005547410
1.0, 0.1,3695783513668
0.5, 3.0,58464529803599
1.0, 0.1,3653118295408
1.0, 0.1,3636955097215
1.0, 0.1,3523244307715
1.0, 0.1,3815444319991
0.5, 3.0,60856733452950
0.5, 3.0,57278075473346
0.5, 3.0,59524847896727
1.0, 0.1,4105597808451
1.0, 0.1,3513879563356
